역사_ID,역사명,호선,위도,경도,station_x_5179,station_y_5179,matched_CELL_ID,matched_CELL_X,matched_CELL_Y,distance_m
1809,주안,경인선,37.465047,126.679742,927462.9020306971,1940964.4020303355,다사27254075,927375,1940875,125.37739042101406
1808,동암,경인선,37.471408,126.702896,929516.465869767,1941652.5419095925,다사29504150,929625,1941625,111.97416759874115
1807,백운,경인선,37.483664,126.707704,929953.0593408386,1943008.696121803,다사29754300,929875,1943125,140.07088482554497
1806,부평,경인선,37.489445,126.724506,931443.832601924,1943637.7009302264,다사31254350,931375,1943625,69.99457633443755
1805,송내,경인선,37.4876,126.753664,934019.9097983977,1943412.1716009865,다사34004325,934125,1943375,111.47052701371626
1804,부천,경인선,37.48405,126.782686,936582.6445825844,1942998.3725834808,다사36504275,936625,1942875,130.44069817037266
1803,역곡,경인선,37.485178,126.811502,939131.2000532544,1943104.4973234003,다사39004300,939125,1943125,21.419626703266673
1802,오류동,경인선,37.494526,126.845365,942132.2107249696,1944120.2495791316,다사42004400,942125,1944125,8.634874232697692
1801,개봉,경인선,37.494594,126.85968,943397.6794589014,1944119.0892206668,다사43254400,943375,1944125,23.437046921194717
1763,수리산,안산선,37.349801,126.925365,949106.1798658862,1928017.8963216778,다사49002800,949125,1928125,108.74463369839523
1762,오이도,안산선,37.362357,126.738714,932586.0246785167,1929527.8185076502,다사32502950,932625,1929625,104.70586487904805
1761,정왕,안산선,37.351735,126.742989,932955.1455811148,1928346.3428459228,다사32752825,932875,1928375,85.11490264362624
1760,신길온천,안산선,37.338212,126.765844,934967.6719853311,1926830.0902127388,다사34752675,934875,1926875,102.98051202558534
1759,안산,안산선,37.327082,126.788532,936968.128474517,1925579.9297393395,다사36752550,936875,1925625,103.46130272654142
1758,초지,안산선,37.320646,126.805913,938502.7582750377,1924854.4567648517,다사38502475,938625,1924875,123.95589470495298
1757,고잔,안산선,37.316784,126.823144,940026.4035878831,1924414.9271842882,다사40002425,940125,1924375,106.3740218639164
1756,중앙,안산선,37.315941,126.838573,941392.8696166866,1924311.7242724062,다사41252425,941375,1924375,65.75059621822061
1755,한대앞,안산선,37.309689,126.85344,942705.4618707051,1923609.0053719697,다사42502350,942625,1923625,82.03621616821142
1754,상록수,안산선,37.302795,126.866489,943856.678640048,1922836.349664716,다사43752275,943875,1922875,42.77289618498822
1753,반월,안산선,37.312212,126.903524,947145.4374531328,1923859.726633434,다사47002375,947125,1923875,25.51402000503187
1752,대야미,안산선,37.328467,126.917332,948380.1136574544,1925655.4372645628,다사48252550,948375,1925625,30.863839142719247
1751,산본,안산선,37.358101,126.933274,949812.1904116836,1928934.4764980855,다사49752875,949875,1928875,86.50143472214863
1750,광명,경부선,37.416182,126.884466,945531.8704797148,1935405.1720263157,다사45503525,945625,1935375,97.89514145524568
1749,서동탄,경부선,37.195504,127.051672,960211.7902559243,1910839.7108464362,다사60001075,960125,1910875,93.6903030343096
1729,당정,경부선,37.344285,126.948345,951137.8970869418,1927393.8083992847,다사51002725,951125,1927375,22.805497916878746
1728,천안,경부선,36.810005,127.146826,968497.896381551,1868039.0987197543,다바74008125,974125,1881375,14474.47954467522
1727,두정,경부선,36.833705,127.14896,968697.8976443374,1870667.450891354,다바74008125,974125,1881375,12004.376197575068
1726,직산,경부선,36.870593,127.143904,968262.3076007216,1874761.1448444535,다바74008125,974125,1881375,8838.226190085039
1725,성환,경부선,36.916076,127.126964,966772.2148858907,1879812.4254493387,다바63758275,963875,1882875,4215.829333996428
1724,평택,경부선,36.990726,127.085159,963084.5071484939,1888108.9666635294,다바63008800,963125,1888125,43.551566004851175
1723,지제,경부선,37.0188,127.070444,961789.1089696559,1891229.1394008312,다바61759100,961875,1891125,134.98993999200243
1722,서정리,경부선,37.056496,127.052819,960240.9388080506,1895418.1634344817,다바60009525,960125,1895375,123.71293096701113
1721,송탄,경부선,37.075696,127.054301,960382.6916224838,1897547.504730313,다바60259750,960375,1897625,77.87604176048386
1720,진위,경부선,37.109447,127.062278,961109.0071632103,1901288.4059422642,다사61000125,961125,1901375,88.05851272719127
1719,오산,경부선,37.145885,127.06672,961522.126109368,1905328.9006756633,다사61500525,961625,1905375,112.73058625793699
1718,오산대,경부선,37.168953,127.063197,961221.0450376176,1907889.43180526,다사61000775,961125,1907875,97.12325290073964
1717,세마,경부선,37.187533,127.04318,959453.8760724821,1909959.0245305786,다사59250975,959375,1909875,115.24563570548008
1716,병점,경부선,37.207503,127.032731,958537.3685189056,1912178.9761355699,다사58501200,958625,1912125,102.92084186331847
1715,세류,경부선,37.245025,127.013222,956827.6417390004,1916350.329094948,다사56751625,956875,1916375,53.3990490644319
1714,독산,경부선,37.466613,126.889249,945991.3784026487,1940997.3963901866,다사45754075,945875,1940875,168.8928918983422
1713,수원,경부선,37.266348,126.999561,955628.5471848758,1918722.2029588865,다사55501850,955625,1918625,97.26766028252193
1712,화서,경부선,37.283862,126.989627,954758.224791784,1920669.9038205715,다사54752050,954875,1920625,125.11115999708817
1711,성균관대,경부선,37.300349,126.97075,953095.1062643654,1922508.1682386836,다사53002250,953125,1922625,120.59558815514131
1710,의왕,경부선,37.320852,126.948217,951111.3762415987,1924794.1973026865,다사51002475,951125,1924875,81.9431674156563
1709,군포,경부선,37.35356,126.948462,951154.269587379,1928422.7272275048,다사51002825,951125,1928375,55.98747172923425
1708,금정,경부선,37.372221,126.943429,950720.7342483194,1930495.6210231956,다사50503025,950625,1930375,153.99505686231157
1707,명학,경부선,37.384653,126.935433,950021.0062421648,1931879.053872134,다사50003175,950125,1931875,104.07274161841784
1706,안양,경부선,37.401592,126.922874,948920.6910490347,1933765.0283416363,다사48753375,948875,1933875,119.08584132950305
1705,관악,경부선,37.419232,126.908706,947678.9918606644,1935729.820804868,다사47503550,947625,1935625,117.90895704382403
1704,석수,경부선,37.435047,126.902295,947122.8295935089,1937487.9590019954,다사47003725,947125,1937375,112.97985128389661
1703,금천구청,경부선,37.455626,126.89398,946401.9021941705,1939775.757330312,다사46253975,946375,1939875,102.82429449310031
1702,가산디지털단지,경부선,37.481581,126.882581,945412.6097834768,1942661.8483388636,다사45254250,945375,1942625,52.65259623396567
1701,구로,경부선,37.503039,126.881966,945373.866166315,1945042.8454276647,다사45254500,945375,1945125,82.16239610930269
1512,성남,경강선,37.39468,127.11945,966315.9048646318,1932909.8819883447,다사66253275,966375,1932875,68.62206740592686
1511,여주,경강선,37.282308,127.628816,1011419.030687438,1920383.2176585917,라사11252025,1011375,1920375,44.790973967867735
1510,세종대왕릉,경강선,37.295309,127.570938,1006287.2912586525,1921820.1140300222,라사06252175,1006375,1921875,103.46638589018262
1509,부발,경강선,37.260192,127.490277,999137.8424248163,1917921.974003263,다사99001775,999125,1917875,48.697893770884264
1508,이천,경강선,37.265579,127.44226,994880.4448113992,1918521.1156933657,다사94751850,994875,1918625,104.02689621470236
1507,신둔도예촌,경강선,37.317185,127.40476,991561.2477065907,1924248.9090658012,다사91502400,991625,1924125,139.34780767084052
1506,곤지암,경강선,37.351315,127.34674,986426.517936439,1928042.0370703903,다사86252800,986375,1928125,97.65728577202293
1505,초월,경강선,37.374419,127.299,982203.8744294362,1930613.130772545,다사82003050,982125,1930625,79.76248603986379
1504,경기광주,경강선,37.399907,127.25263,978105.7769288941,1933450.5408817267,다사78003325,978125,1933375,77.9483885323052
1503,삼동,경강선,37.409522,127.20336,973748.3332125386,1934529.8151215084,다사73503450,973625,1934625,155.7923053573274
1502,이매,경강선,37.394655,127.127819,967056.6724145471,1932904.1532582291,다사67003275,967125,1932875,74.28708770171993
1501,판교,경강선,37.394761,127.111217,965587.2012016434,1932921.8395339374,다사65503275,965625,1932875,60.18879544127778
1458,금정,과천선,37.372209,126.943417,950719.6638991513,1930494.295988733,다사50503025,950625,1930375,152.29178155859765
1457,범계,과천선,37.389793,126.950806,951385.2503356722,1932441.2636661467,다사51253225,951375,1932375,67.05179216537935
1456,평촌,과천선,37.394287,126.963883,952545.6708166086,1932933.1788472508,다사52503275,952625,1932875,98.3763061157293
1455,인덕원,과천선,37.401553,126.976715,953685.9736916055,1933732.9057542246,다사53503350,953625,1933625,123.94128796647445
1454,정부과천청사,과천선,37.426513,126.98978,954857.2993773367,1936495.6879627553,다사54753625,954875,1936375,121.97908179970142
1453,과천,과천선,37.433021,126.996568,955461.7408168211,1937214.472615261,다사55253700,955375,1937125,124.6166850163083
1452,대공원,과천선,37.435675,127.006523,956343.9996838487,1937504.256676955,다사56253750,956375,1937625,124.65941465228454
1451,경마공원,과천선,37.443885,127.007888,956469.5127710538,1938414.4639538089,다사56253825,956375,1938375,102.42103076273766
1450,선바위,과천선,37.451673,127.002303,955980.0437835744,1939281.0806977362,다사55753925,955875,1939375,140.90788411345227
